Index  Binary       Word      Braille6  Braille8  ShortBraille8  Braille8NumbersRaised                            
87     00001010111  april     ⠁⠏⠗⠊⠇     ⡁⣏⣗⣊⡇     ⡁ ⣏ ⣗ ⣊        17 123478 123578 2478 1237                       
88     00001011000  arch      ⠁⠗⠉⠓      ⡁⣗⣉⢓      ⡁ ⣗ ⣉ ⢓        17 123578 1478 1258                              
89     00001011001  arctic    ⠁⠗⠉⠞⠊⠉    ⡁⣗⣉⠞⣊⣉    ⡁ ⣗ ⣉ ⠞        17 123578 1478 2345 2478 1478                    
90     00001011010  area      ⠁⠗⠑⠁      ⡁⣗⣑⡁      ⡁ ⣗ ⣑ ⡁        17 123578 1578 17                                
91     00001011011  arena     ⠁⠗⠑⠝⠁     ⡁⣗⣑⠝⡁     ⡁ ⣗ ⣑ ⠝        17 123578 1578 1345 17                           
92     00001011100  argue     ⠁⠗⠛⠥⠑     ⡁⣗⠛⢥⣑     ⡁ ⣗ ⠛ ⢥        17 123578 1245 1368 1578                         
93     00001011101  arm       ⠁⠗⠍       ⡁⣗⢍       ⡁ ⣗ ⢍          17 123578 1348                                   
94     00001011110  armed     ⠁⠗⠍⠑⠙     ⡁⣗⢍⣑⡙     ⡁ ⣗ ⢍ ⣑        17 123578 1348 1578 1457                         
95     00001011111  armor     ⠁⠗⠍⠕⠗     ⡁⣗⢍⢕⣗     ⡁ ⣗ ⢍ ⢕        17 123578 1348 1358 123578                       
96     00001100000  army      ⠁⠗⠍⠽      ⡁⣗⢍⢽      ⡁ ⣗ ⢍ ⢽        17 123578 1348 134568                            
97     00001100001  around    ⠁⠗⠕⠥⠝⠙    ⡁⣗⢕⢥⠝⡙    ⡁ ⣗ ⢕ ⢥        17 123578 1358 1368 1345 1457                    
98     00001100010  arrange   ⠁⠗⠗⠁⠝⠛⠑   ⡁⣗⣗⡁⠝⠛⣑   ⡁ ⣗ ⣗ ⡁        17 123578 123578 17 1345 1245 1578               
99     00001100011  arrest    ⠁⠗⠗⠑⠎⠞    ⡁⣗⣗⣑⢎⠞    ⡁ ⣗ ⣗ ⣑        17 123578 123578 1578 2348 2345                  
100    00001100100  arrive    ⠁⠗⠗⠊⠧⠑    ⡁⣗⣗⣊⣧⣑    ⡁ ⣗ ⣗ ⣊        17 123578 123578 2478 123678 1578                
101    00001100101  arrow     ⠁⠗⠗⠕⠺     ⡁⣗⣗⢕⣺     ⡁ ⣗ ⣗ ⢕        17 123578 123578 1358 245678                     
102    00001100110  art       ⠁⠗⠞       ⡁⣗⠞       ⡁ ⣗ ⠞          17 123578 2345                                   
103    00001100111  artefact  ⠁⠗⠞⠑⠋⠁⠉⠞  ⡁⣗⠞⣑⢋⡁⣉⠞  ⡁ ⣗ ⠞ ⣑        17 123578 2345 1578 1248 17 1478 2345            
104    00001101000  artist    ⠁⠗⠞⠊⠎⠞    ⡁⣗⠞⣊⢎⠞    ⡁ ⣗ ⠞ ⣊        17 123578 2345 2478 2348 2345                    
105    00001101001  artwork   ⠁⠗⠞⠺⠕⠗⠅   ⡁⣗⠞⣺⢕⣗⠅   ⡁ ⣗ ⠞ ⣺        17 123578 2345 245678 1358 123578 13             
106    00001101010  ask       ⠁⠎⠅       ⡁⢎⠅       ⡁ ⢎ ⠅          17 2348 13                                       
107    00001101011  aspect    ⠁⠎⠏⠑⠉⠞    ⡁⢎⣏⣑⣉⠞    ⡁ ⢎ ⣏ ⣑        17 2348 123478 1578 1478 2345                    
108    00001101100  assault   ⠁⠎⠎⠁⠥⠇⠞   ⡁⢎⢎⡁⢥⡇⠞   ⡁ ⢎ ⢎ ⡁        17 2348 2348 17 1368 1237 2345                   
109    00001101101  asset     ⠁⠎⠎⠑⠞     ⡁⢎⢎⣑⠞     ⡁ ⢎ ⢎ ⣑        17 2348 2348 1578 2345                           
110    00001101110  assist    ⠁⠎⠎⠊⠎⠞    ⡁⢎⢎⣊⢎⠞    ⡁ ⢎ ⢎ ⣊        17 2348 2348 2478 2348 2345                      
111    00001101111  assume    ⠁⠎⠎⠥⠍⠑    ⡁⢎⢎⢥⢍⣑    ⡁ ⢎ ⢎ ⢥        17 2348 2348 1368 1348 1578                      
112    00001110000  asthma    ⠁⠎⠞⠓⠍⠁    ⡁⢎⠞⢓⢍⡁    ⡁ ⢎ ⠞ ⢓        17 2348 2345 1258 1348 17                        
113    00001110001  athlete   ⠁⠞⠓⠇⠑⠞⠑   ⡁⠞⢓⡇⣑⠞⣑   ⡁ ⠞ ⢓ ⡇        17 2345 1258 1237 1578 2345 1578                 
114    00001110010  atom      ⠁⠞⠕⠍      ⡁⠞⢕⢍      ⡁ ⠞ ⢕ ⢍        17 2345 1358 1348                                
115    00001110011  attack    ⠁⠞⠞⠁⠉⠅    ⡁⠞⠞⡁⣉⠅    ⡁ ⠞ ⠞ ⡁        17 2345 2345 17 1478 13                          
116    00001110100  attend    ⠁⠞⠞⠑⠝⠙    ⡁⠞⠞⣑⠝⡙    ⡁ ⠞ ⠞ ⣑        17 2345 2345 1578 1345 1457                      
117    00001110101  attitude  ⠁⠞⠞⠊⠞⠥⠙⠑  ⡁⠞⠞⣊⠞⢥⡙⣑  ⡁ ⠞ ⠞ ⣊        17 2345 2345 2478 2345 1368 1457 1578            
118    00001110110  attract   ⠁⠞⠞⠗⠁⠉⠞   ⡁⠞⠞⣗⡁⣉⠞   ⡁ ⠞ ⠞ ⣗        17 2345 2345 123578 17 1478 2345                 
119    00001110111  auction   ⠁⠥⠉⠞⠊⠕⠝   ⡁⢥⣉⠞⣊⢕⠝   ⡁ ⢥ ⣉ ⠞        17 1368 1478 2345 2478 1358 1345                 
120    00001111000  audit     ⠁⠥⠙⠊⠞     ⡁⢥⡙⣊⠞     ⡁ ⢥ ⡙ ⣊        17 1368 1457 2478 2345                           
121    00001111001  august    ⠁⠥⠛⠥⠎⠞    ⡁⢥⠛⢥⢎⠞    ⡁ ⢥ ⠛ ⢥        17 1368 1245 1368 2348 2345                      
122    00001111010  aunt      ⠁⠥⠝⠞      ⡁⢥⠝⠞      ⡁ ⢥ ⠝ ⠞        17 1368 1345 2345                                
123    00001111011  author    ⠁⠥⠞⠓⠕⠗    ⡁⢥⠞⢓⢕⣗    ⡁ ⢥ ⠞ ⢓        17 1368 2345 1258 1358 123578                    
124    00001111100  auto      ⠁⠥⠞⠕      ⡁⢥⠞⢕      ⡁ ⢥ ⠞ ⢕        17 1368 2345 1358                                
125    00001111101  autumn    ⠁⠥⠞⠥⠍⠝    ⡁⢥⠞⢥⢍⠝    ⡁ ⢥ ⠞ ⢥        17 1368 2345 1368 1348 1345                      
126    00001111110  average   ⠁⠧⠑⠗⠁⠛⠑   ⡁⣧⣑⣗⡁⠛⣑   ⡁ ⣧ ⣑ ⣗        17 123678 1578 123578 17 1245 1578               
127    00001111111  avocado   ⠁⠧⠕⠉⠁⠙⠕   ⡁⣧⢕⣉⡁⡙⢕   ⡁ ⣧ ⢕ ⣉        17 123678 1358 1478 17 1457 1358                 
128    00010000000  avoid     ⠁⠧⠕⠊⠙     ⡁⣧⢕⣊⡙     ⡁ ⣧ ⢕ ⣊        17 123678 1358 2478 1457                         
129    00010000001  awake     ⠁⠺⠁⠅⠑     ⡁⣺⡁⠅⣑     ⡁ ⣺ ⡁ ⠅        17 245678 17 13 1578                             
130    00010000010  aware     ⠁⠺⠁⠗⠑     ⡁⣺⡁⣗⣑     ⡁ ⣺ ⡁ ⣗        17 245678 17 123578 1578                         
131    00010000011  away      ⠁⠺⠁⠽      ⡁⣺⡁⢽      ⡁ ⣺ ⡁ ⢽        17 245678 17 134568                              
132    00010000100  awesome   ⠁⠺⠑⠎⠕⠍⠑   ⡁⣺⣑⢎⢕⢍⣑   ⡁ ⣺ ⣑ ⢎        17 245678 1578 2348 1358 1348 1578               
133    00010000101  awful     ⠁⠺⠋⠥⠇     ⡁⣺⢋⢥⡇     ⡁ ⣺ ⢋ ⢥        17 245678 1248 1368 1237                         
134    00010000110  awkward   ⠁⠺⠅⠺⠁⠗⠙   ⡁⣺⠅⣺⡁⣗⡙   ⡁ ⣺ ⠅ ⣺        17 245678 13 245678 17 123578 1457               
135    00010000111  axis      ⠁⠭⠊⠎      ⡁⠭⣊⢎      ⡁ ⠭ ⣊ ⢎        17 1346 2478 2348                                
136    00010001000  baby      ⠃⠁⠃⠽      ⠃⡁⠃⢽      ⠃ ⡁ ⠃ ⢽        12 17 12 134568                                  
137    00010001001  bachelor  ⠃⠁⠉⠓⠑⠇⠕⠗  ⠃⡁⣉⢓⣑⡇⢕⣗  ⠃ ⡁ ⣉ ⢓        12 17 1478 1258 1578 1237 1358 123578            
138    00010001010  bacon     ⠃⠁⠉⠕⠝     ⠃⡁⣉⢕⠝     ⠃ ⡁ ⣉ ⢕        12 17 1478 1358 1345                             
139    00010001011  badge     ⠃⠁⠙⠛⠑     ⠃⡁⡙⠛⣑     ⠃ ⡁ ⡙ ⠛        12 17 1457 1245 1578                             
140    00010001100  bag       ⠃⠁⠛       ⠃⡁⠛       ⠃ ⡁ ⠛          12 17 1245                                       
141    00010001101  balance   ⠃⠁⠇⠁⠝⠉⠑   ⠃⡁⡇⡁⠝⣉⣑   ⠃ ⡁ ⡇ ⡁        12 17 1237 17 1345 1478 1578                     
142    00010001110  balcony   ⠃⠁⠇⠉⠕⠝⠽   ⠃⡁⡇⣉⢕⠝⢽   ⠃ ⡁ ⡇ ⣉        12 17 1237 1478 1358 1345 134568                 
143    00010001111  ball      ⠃⠁⠇⠇      ⠃⡁⡇⡇      ⠃ ⡁ ⡇ ⡇        12 17 1237 1237                                  
144    00010010000  bamboo    ⠃⠁⠍⠃⠕⠕    ⠃⡁⢍⠃⢕⢕    ⠃ ⡁ ⢍ ⠃        12 17 1348 12 1358 1358                          
145    00010010001  banana    ⠃⠁⠝⠁⠝⠁    ⠃⡁⠝⡁⠝⡁    ⠃ ⡁ ⠝ ⡁        12 17 1345 17 1345 17                            
146    00010010010  banner    ⠃⠁⠝⠝⠑⠗    ⠃⡁⠝⠝⣑⣗    ⠃ ⡁ ⠝ ⠝        12 17 1345 1345 1578 123578                      
147    00010010011  bar       ⠃⠁⠗       ⠃⡁⣗       ⠃ ⡁ ⣗          12 17 123578                                     
148    00010010100  barely    ⠃⠁⠗⠑⠇⠽    ⠃⡁⣗⣑⡇⢽    ⠃ ⡁ ⣗ ⣑        12 17 123578 1578 1237 134568                    
149    00010010101  bargain   ⠃⠁⠗⠛⠁⠊⠝   ⠃⡁⣗⠛⡁⣊⠝   ⠃ ⡁ ⣗ ⠛        12 17 123578 1245 17 2478 1345                   
150    00010010110  barrel    ⠃⠁⠗⠗⠑⠇    ⠃⡁⣗⣗⣑⡇    ⠃ ⡁ ⣗ ⣗        12 17 123578 123578 1578 1237                    
151    00010010111  base      ⠃⠁⠎⠑      ⠃⡁⢎⣑      ⠃ ⡁ ⢎ ⣑        12 17 2348 1578                                  
152    00010011000  basic     ⠃⠁⠎⠊⠉     ⠃⡁⢎⣊⣉     ⠃ ⡁ ⢎ ⣊        12 17 2348 2478 1478                             
153    00010011001  basket    ⠃⠁⠎⠅⠑⠞    ⠃⡁⢎⠅⣑⠞    ⠃ ⡁ ⢎ ⠅        12 17 2348 13 1578 2345                          
154    00010011010  battle    ⠃⠁⠞⠞⠇⠑    ⠃⡁⠞⠞⡇⣑    ⠃ ⡁ ⠞ ⠞        12 17 2345 2345 1237 1578                        
155    00010011011  beach     ⠃⠑⠁⠉⠓     ⠃⣑⡁⣉⢓     ⠃ ⣑ ⡁ ⣉        12 1578 17 1478 1258                             
156    00010011100  bean      ⠃⠑⠁⠝      ⠃⣑⡁⠝      ⠃ ⣑ ⡁ ⠝        12 1578 17 1345                                  
157    00010011101  beauty    ⠃⠑⠁⠥⠞⠽    ⠃⣑⡁⢥⠞⢽    ⠃ ⣑ ⡁ ⢥        12 1578 17 1368 2345 134568                      
158    00010011110  because   ⠃⠑⠉⠁⠥⠎⠑   ⠃⣑⣉⡁⢥⢎⣑   ⠃ ⣑ ⣉ ⡁        12 1578 1478 17 1368 2348 1578                   
159    00010011111  become    ⠃⠑⠉⠕⠍⠑    ⠃⣑⣉⢕⢍⣑    ⠃ ⣑ ⣉ ⢕        12 1578 1478 1358 1348 1578                      
160    00010100000  beef      ⠃⠑⠑⠋      ⠃⣑⣑⢋      ⠃ ⣑ ⣑ ⢋        12 1578 1578 1248                                
161    00010100001  before    ⠃⠑⠋⠕⠗⠑    ⠃⣑⢋⢕⣗⣑    ⠃ ⣑ ⢋ ⢕        12 1578 1248 1358 123578 1578                    
162    00010100010  begin     ⠃⠑⠛⠊⠝     ⠃⣑⠛⣊⠝     ⠃ ⣑ ⠛ ⣊        12 1578 1245 2478 1345                           
